,Label,FileName,Score,left,top,Width,Height
0,cloudSign,MC2-Image-Data/Person33/Person33_40.jpg,0.31465,377,202,1237,1502
1,pinkCandle,MC2-Image-Data/Person33/Person33_40.jpg,0.48349,2003,515,296,1361
2,pumpkinNotes,MC2-Image-Data/Person33/Person33_40.jpg,0.34838,229,273,2137,1825
3,sign,MC2-Image-Data/Person33/Person33_40.jpg,0.36762,1560,111,1210,2127
4,birdCall,MC2-Image-Data/Person33/Person33_54.jpg,0.29639,515,565,1341,2608
5,pumpkinNotes,MC2-Image-Data/Person33/Person33_54.jpg,0.29539,666,1143,1482,2514
6,redWhistle,MC2-Image-Data/Person33/Person33_54.jpg,0.31314000000000003,797,1748,1200,1398
7,sign,MC2-Image-Data/Person33/Person33_54.jpg,0.47006000000000003,11,269,1089,3750
8,silverStraw,MC2-Image-Data/Person33/Person33_54.jpg,0.3209,1422,2366,1250,1680
9,blueSunglasses,MC2-Image-Data/Person33/Person33_54.jpg,0.27061,595,1143,1170,861
10,birdCall,MC2-Image-Data/Person33/Person33_55.jpg,0.41247,492,607,1639,1245
11,cloudSign,MC2-Image-Data/Person33/Person33_55.jpg,0.39375,506,761,1038,922
12,eyeball,MC2-Image-Data/Person33/Person33_55.jpg,0.40012,233,569,1011,1022
13,pinkCandle,MC2-Image-Data/Person33/Person33_55.jpg,0.25991,3168,1007,396,768
14,redWhistle,MC2-Image-Data/Person33/Person33_55.jpg,0.25999,1229,999,1270,753
15,sign,MC2-Image-Data/Person33/Person33_55.jpg,0.33674,274,408,929,1636
16,blueSunglasses,MC2-Image-Data/Person33/Person33_55.jpg,0.39189,2458,1222,1229,315
17,hairClip,MC2-Image-Data/Person33/Person33_55.jpg,0.68481,1407,999,984,838
18,lavenderDie,MC2-Image-Data/Person33/Person33_55.jpg,0.4435,2567,730,355,331
19,birdCall,MC2-Image-Data/Person33/Person33_41.jpg,0.34343,716,1385,1351,2070
20,pinkCandle,MC2-Image-Data/Person33/Person33_41.jpg,0.36741,1462,1882,303,1129
21,pumpkinNotes,MC2-Image-Data/Person33/Person33_41.jpg,0.6024,646,27,1543,2433
22,sign,MC2-Image-Data/Person33/Person33_41.jpg,0.40012,1089,1062,656,2984
23,blueSunglasses,MC2-Image-Data/Person33/Person33_41.jpg,0.3481,968,2124,888,592
24,yellowBag,MC2-Image-Data/Person33/Person33_41.jpg,0.27376999999999996,11,1264,1533,2783
25,cloudSign,MC2-Image-Data/Person33/Person33_57.jpg,0.2536,653,2827,507,1284
26,cupcakePaper,MC2-Image-Data/Person33/Person33_57.jpg,0.33776999999999996,1329,14,799,2103
27,lavenderDie,MC2-Image-Data/Person33/Person33_57.jpg,0.29129,1767,2799,239,560
28,birdCall,MC2-Image-Data/Person33/Person33_43.jpg,0.33414,2000,1667,2480,2067
29,cloudSign,MC2-Image-Data/Person33/Person33_43.jpg,0.39485,3820,1947,2200,2040
30,eyeball,MC2-Image-Data/Person33/Person33_43.jpg,0.44616000000000006,2300,2094,1820,1254
31,pinkCandle,MC2-Image-Data/Person33/Person33_43.jpg,0.30598000000000003,1260,1640,520,1560
32,redWhistle,MC2-Image-Data/Person33/Person33_43.jpg,0.47263999999999995,2140,1400,2020,1467
33,hairClip,MC2-Image-Data/Person33/Person33_43.jpg,0.37096,2560,667,1320,1280
34,lavenderDie,MC2-Image-Data/Person33/Person33_43.jpg,0.53999,1120,2454,620,507
35,birdCall,MC2-Image-Data/Person33/Person33_42.jpg,0.41445,1360,1747,2820,1920
36,cloudSign,MC2-Image-Data/Person33/Person33_42.jpg,0.25006999999999996,3320,1800,1500,1747
37,eyeball,MC2-Image-Data/Person33/Person33_42.jpg,0.4374,2920,2614,2260,814
38,blueSunglasses,MC2-Image-Data/Person33/Person33_42.jpg,0.47983000000000003,1180,2627,2380,720
39,hairClip,MC2-Image-Data/Person33/Person33_42.jpg,0.67303,1080,2267,1700,1520
40,lavenderDie,MC2-Image-Data/Person33/Person33_42.jpg,0.43973999999999996,1560,2640,620,654
41,stickerBox,MC2-Image-Data/Person33/Person33_42.jpg,0.27625,3320,2067,1540,1907
42,canadaPencil,MC2-Image-Data/Person33/Person33_56.jpg,0.33211,686,615,1842,1956
43,cloudSign,MC2-Image-Data/Person33/Person33_56.jpg,0.27645,592,928,901,1321
44,eyeball,MC2-Image-Data/Person33/Person33_56.jpg,0.34683,565,1049,901,726
45,metalKey,MC2-Image-Data/Person33/Person33_56.jpg,0.29825,807,958,1560,1331
46,pinkCandle,MC2-Image-Data/Person33/Person33_56.jpg,0.46803,2272,414,336,1150
47,pumpkinNotes,MC2-Image-Data/Person33/Person33_56.jpg,0.48168,2218,807,1613,2228
48,blueSunglasses,MC2-Image-Data/Person33/Person33_56.jpg,0.41508999999999996,1788,1109,1331,545
49,yellowBag,MC2-Image-Data/Person33/Person33_56.jpg,0.3877,229,11,2688,1775
50,birdCall,MC2-Image-Data/Person33/Person33_8.jpg,0.30704000000000004,5,29,576,394
51,eyeball,MC2-Image-Data/Person33/Person33_8.jpg,0.33352,376,34,256,200
52,pumpkinNotes,MC2-Image-Data/Person33/Person33_8.jpg,0.26873,5,368,453,339
53,redWhistle,MC2-Image-Data/Person33/Person33_8.jpg,0.40283,773,3,355,245
54,sign,MC2-Image-Data/Person33/Person33_8.jpg,0.29416,653,274,252,449
55,blueSunglasses,MC2-Image-Data/Person33/Person33_8.jpg,0.29771,141,164,359,132
56,hairClip,MC2-Image-Data/Person33/Person33_8.jpg,0.40364,338,53,312,260
57,lavenderDie,MC2-Image-Data/Person33/Person33_8.jpg,0.28733000000000003,508,408,158,152
58,cloudSign,MC2-Image-Data/Person33/Person33_52.jpg,0.41475,4040,1787,1800,1787
59,eyeball,MC2-Image-Data/Person33/Person33_52.jpg,0.48336,3780,1947,1400,960
60,metalKey,MC2-Image-Data/Person33/Person33_52.jpg,0.30489,2320,880,1780,1360
61,hairClip,MC2-Image-Data/Person33/Person33_52.jpg,0.70294,4700,1040,1240,1134
62,lavenderDie,MC2-Image-Data/Person33/Person33_52.jpg,0.47925,3280,1494,620,654
63,cloudSign,MC2-Image-Data/Person33/Person33_46.jpg,0.30546999999999996,2640,1454,1060,1267
64,cupcakePaper,MC2-Image-Data/Person33/Person33_46.jpg,0.32456,1600,840,2400,2547
65,eyeball,MC2-Image-Data/Person33/Person33_46.jpg,0.42253,3420,1334,1260,1040
66,pinkCandle,MC2-Image-Data/Person33/Person33_46.jpg,0.30629,1700,1267,380,1187
67,blueSunglasses,MC2-Image-Data/Person33/Person33_46.jpg,0.27939,2340,1800,1780,640
68,hairClip,MC2-Image-Data/Person33/Person33_46.jpg,0.6015199999999999,1900,160,1820,1720
69,birdCall,MC2-Image-Data/Person33/Person33_47.jpg,0.26086,3120,1454,1960,1894
70,cloudSign,MC2-Image-Data/Person33/Person33_47.jpg,0.434,3320,1414,1460,1374
71,cupcakePaper,MC2-Image-Data/Person33/Person33_47.jpg,0.2543,3380,1480,1360,1280
72,eyeball,MC2-Image-Data/Person33/Person33_47.jpg,0.42018999999999995,2800,334,1720,1334
73,metalKey,MC2-Image-Data/Person33/Person33_47.jpg,0.27838,3140,1560,1860,1734
74,pinkCandle,MC2-Image-Data/Person33/Person33_47.jpg,0.37824,3760,1614,580,1067
75,blueSunglasses,MC2-Image-Data/Person33/Person33_47.jpg,0.43238000000000004,3140,1800,1860,680
76,hairClip,MC2-Image-Data/Person33/Person33_47.jpg,0.70873,3140,1360,1840,1640
77,lavenderDie,MC2-Image-Data/Person33/Person33_47.jpg,0.4872,740,1600,580,520
78,yellowBag,MC2-Image-Data/Person33/Person33_47.jpg,0.30073,20,1240,4120,2774
79,eyeball,MC2-Image-Data/Person33/Person33_53.jpg,0.4526,2700,1480,1060,1347
80,pinkCandle,MC2-Image-Data/Person33/Person33_53.jpg,0.34926,2940,1307,440,1694
81,redWhistle,MC2-Image-Data/Person33/Person33_53.jpg,0.36937,1680,1600,3020,1560
82,trophy,MC2-Image-Data/Person33/Person33_53.jpg,0.33047,2300,1320,1820,2267
83,blueSunglasses,MC2-Image-Data/Person33/Person33_53.jpg,0.27116,2280,1934,1820,414
84,hairClip,MC2-Image-Data/Person33/Person33_53.jpg,0.8916700000000001,2440,1480,1560,1414
85,cupcakePaper,MC2-Image-Data/Person33/Person33_9.jpg,0.265,53,3,426,404
86,eyeball,MC2-Image-Data/Person33/Person33_9.jpg,0.28725,590,267,241,137
87,lavenderDie,MC2-Image-Data/Person33/Person33_9.jpg,0.70498,593,324,95,111
88,yellowBag,MC2-Image-Data/Person33/Person33_9.jpg,0.35645,618,310,433,413
89,cloudSign,MC2-Image-Data/Person33/Person33_45.jpg,0.3982,2220,2160,1140,1014
90,eyeball,MC2-Image-Data/Person33/Person33_45.jpg,0.44741000000000003,120,2960,1060,667
91,pinkCandle,MC2-Image-Data/Person33/Person33_45.jpg,0.29961,3680,454,780,1067
92,silverStraw,MC2-Image-Data/Person33/Person33_45.jpg,0.30096,1440,667,2660,1760
93,hairClip,MC2-Image-Data/Person33/Person33_45.jpg,0.6967,2120,2107,1320,1254
94,lavenderDie,MC2-Image-Data/Person33/Person33_45.jpg,0.7673,240,2960,740,667
95,birdCall,MC2-Image-Data/Person33/Person33_51.jpg,0.26227,520,1334,2800,2680
96,eyeball,MC2-Image-Data/Person33/Person33_51.jpg,0.32542,1900,920,1780,1307
97,pinkCandle,MC2-Image-Data/Person33/Person33_51.jpg,0.3178,3740,2294,600,1414
98,pumpkinNotes,MC2-Image-Data/Person33/Person33_51.jpg,0.37035999999999997,360,1280,3040,2734
99,redWhistle,MC2-Image-Data/Person33/Person33_51.jpg,0.6732100000000001,880,2134,2000,1627
100,sign,MC2-Image-Data/Person33/Person33_51.jpg,0.47953,3440,1094,1280,2920
101,trophy,MC2-Image-Data/Person33/Person33_51.jpg,0.3323,980,654,1960,2440
102,hairClip,MC2-Image-Data/Person33/Person33_51.jpg,0.26079,1160,1187,1540,1387
103,birdCall,MC2-Image-Data/Person33/Person33_50.jpg,0.66502,2124,797,1815,2057
104,cloudSign,MC2-Image-Data/Person33/Person33_50.jpg,0.35318,874,1180,834,1250
105,eyeball,MC2-Image-Data/Person33/Person33_50.jpg,0.25469,2662,1039,1277,767
106,pumpkinNotes,MC2-Image-Data/Person33/Person33_50.jpg,0.5099100000000001,390,666,2420,1916
107,redWhistle,MC2-Image-Data/Person33/Person33_50.jpg,0.34356,713,1160,1721,1321
108,blueSunglasses,MC2-Image-Data/Person33/Person33_50.jpg,0.43456999999999996,968,1150,1815,918
109,stickerBox,MC2-Image-Data/Person33/Person33_50.jpg,0.48213999999999996,955,716,1237,1845
110,cloudSign,MC2-Image-Data/Person33/Person33_44.jpg,0.34433,760,1280,1460,1654
111,eyeball,MC2-Image-Data/Person33/Person33_44.jpg,0.5206,2220,960,1140,694
112,blueSunglasses,MC2-Image-Data/Person33/Person33_44.jpg,0.32469000000000003,3260,2134,1620,547
113,hairClip,MC2-Image-Data/Person33/Person33_44.jpg,0.55984,740,1614,1480,1640
114,lavenderDie,MC2-Image-Data/Person33/Person33_44.jpg,0.58343,2020,960,640,614
115,birdCall,MC2-Image-Data/Person33/Person33_23.jpg,0.26521999999999996,997,4,608,668
116,canadaPencil,MC2-Image-Data/Person33/Person33_23.jpg,0.34931999999999996,342,96,1035,896
